subject,trial,excluded,windowStart,windowEnd
sp008,9,0,589,1201
sp008,10,0,581,987
sp008,11,0,754,1264
sp008,12,1,0,0
sp008,13,0,743,1260
sp008,14,0,470,952
sp008,15,0,635,1091
sp008,16,1,0,0
sp008,17,0,695,1215
sp008,18,0,765,1221
sp008,19,1,0,0
sp008,20,0,619,1169
sp008,21,0,665,1206
sp008,22,0,427,1172
sp008,23,0,657,1194
sp008,24,0,538,982
sp008,25,0,558,1108
sp008,26,0,563,1010
sp008,27,0,616,1189
sp008,28,0,431,1077
sp008,29,0,604,1118
sp008,30,0,456,1066
sp008,31,0,639,949
sp008,32,0,540,1110
sp008,33,0,490,1179
sp008,34,0,418,937
sp008,35,0,676,1118
sp008,36,0,498,981
sp008,37,1,0,0
sp008,38,0,710,1110
sp008,39,0,644,1131
sp008,40,0,1221,1376
sp008,41,0,461,1103
sp008,42,0,393,1072
sp008,43,0,605,1109
sp008,44,0,570,1102
sp008,45,0,585,1168
sp008,46,0,586,1028
sp008,47,0,587,1069
sp008,48,0,472,1170
sp008,49,0,407,1134
sp008,50,0,387,1132
sp008,51,0,535,948
sp008,52,0,517,1039
sp008,53,0,533,1225
sp008,54,0,387,1078
sp008,55,0,511,858
sp008,56,0,432,1212
sp008,57,0,478,1255
sp008,58,0,579,1224
sp008,59,0,704,1289
sp008,60,0,403,1114
sp008,61,0,474,1348
sp008,62,0,561,1186
sp008,63,0,550,1163
sp008,64,0,495,976
sp008,65,0,577,921
sp008,66,0,598,1007
sp008,67,0,369,1070
sp008,68,0,430,1248
sp008,69,0,398,1147
sp008,70,0,549,987
sp008,71,0,987,1343
sp008,72,0,564,1261
sp008,73,0,694,1302
sp008,74,0,609,1022
sp008,75,0,521,1143
sp008,76,0,573,1251
sp008,77,0,415,961
sp008,78,0,541,1119
sp008,79,0,248,838
sp008,80,0,543,1257
sp008,81,0,571,863
sp008,82,1,0,0
sp008,83,0,637,1163
sp008,84,0,738,1294
sp008,85,1,0,0
sp008,86,0,578,1068
sp008,87,0,602,1159
sp008,88,0,697,1086
sp008,89,0,650,889
sp008,90,0,532,1020
sp008,91,0,412,1165
sp008,92,0,695,1189
sp008,93,0,573,1276
sp008,94,0,530,1045
sp008,95,0,562,1101
sp008,96,0,382,1135
sp008,97,0,456,1002
sp008,98,0,412,1221
sp008,99,0,542,1158
sp008,100,0,441,1131
sp008,101,0,272,1142
sp008,102,0,539,1170
sp008,103,0,723,1181
sp008,104,0,431,1352
sp008,105,0,636,1274
sp008,106,0,522,1091
sp008,107,0,543,1078
sp008,108,0,764,1348
sp008,109,0,496,1117
sp008,110,0,578,1203
sp008,111,0,321,1092
sp008,112,0,531,1083
sp008,113,0,415,1205
sp008,114,0,573,1208
sp008,115,0,621,1177
sp008,116,0,495,1178
sp008,117,0,558,1221
sp008,118,0,510,1265
sp008,119,0,625,1200
sp008,120,0,614,1387
sp009,1,0,903,1248
sp009,2,0,889,1287
sp009,3,0,812,1355
sp009,4,0,919,1283
sp009,5,0,922,1379
sp009,6,0,910,1286
sp009,7,0,900,1372
sp009,8,0,901,1335
sp009,9,0,844,1328
sp009,10,0,806,1223
sp009,11,0,717,1220
sp009,12,0,710,1232
sp009,13,1,0,0
sp009,14,0,758,1284
sp009,15,0,833,1320
sp009,16,0,742,1239
sp009,17,0,858,1301
sp009,18,0,825,1248
sp009,19,0,892,1340
sp009,20,0,839,1269
sp009,21,0,697,1075
sp009,22,0,911,1270
sp009,23,0,853,1216
sp009,24,0,766,1200
sp009,25,0,884,1274
sp009,26,0,737,1061
sp009,27,0,889,1309
sp009,28,0,862,1293
sp009,29,0,863,1345
sp009,30,0,827,1306
sp009,31,0,828,1257
sp009,32,0,796,1294
sp009,33,0,947,1339
sp009,34,0,799,1064
sp009,35,0,888,1316
sp009,36,0,709,1258
sp009,37,0,868,1461
sp009,38,0,766,1253
sp009,39,0,881,1284
sp009,40,0,876,1231
sp009,41,0,639,1224
sp009,42,0,807,1338
sp009,43,0,890,1309
sp009,44,0,818,1343
sp009,45,0,848,1348
sp009,46,0,866,1329
sp009,47,0,822,1291
sp009,48,0,842,1185
sp009,49,0,813,1265
sp009,50,0,832,1293
sp009,51,0,553,1000
sp009,52,0,657,1248
sp009,53,0,758,1204
sp009,54,0,678,1280
sp009,55,0,668,1187
sp009,56,0,671,1263
sp009,57,0,754,1298
sp009,58,0,790,1268
sp009,59,0,656,1141
sp009,60,0,701,1286
sp009,61,0,789,1453
sp009,62,0,722,1332
sp009,63,0,736,1257
sp009,64,0,832,1300
sp009,65,0,690,1245
sp009,66,0,586,1243
sp009,67,0,747,1280
sp009,68,0,765,1269
sp009,69,0,846,1355
sp009,70,0,772,1250
sp009,71,0,821,1240
sp009,72,0,891,1340
sp009,73,0,812,1201
sp009,74,0,735,1323
sp009,75,0,709,1268
sp009,76,0,732,1260
sp009,77,0,733,1335
sp009,78,0,815,1237
sp009,79,0,920,1273
sp009,80,0,802,1308
sp009,81,0,835,1268
sp009,82,0,788,1227
sp009,83,0,868,1211
sp009,84,0,888,1367
sp009,85,0,808,1284
sp009,86,0,783,1179
sp009,87,0,868,1424
sp009,88,0,796,1312
sp009,89,0,742,1410
sp009,90,0,815,1264
sp009,91,0,827,1199
sp009,92,0,704,1244
sp009,93,0,738,1286
sp009,94,0,748,1338
sp009,95,0,897,1390
sp009,96,0,817,1416
sp009,97,0,837,1385
sp009,98,0,748,1262
sp009,99,0,751,1316
sp009,100,0,850,1412
sp009,101,0,817,1355
sp009,102,0,724,1224
sp009,103,0,934,1394
sp009,104,0,717,1208
sp009,105,0,861,1378
sp009,106,0,730,1233
sp009,107,0,854,1262
sp009,108,0,904,1381
sp009,109,0,689,1341
sp009,110,0,782,1287
sp009,111,0,648,1162
sp009,112,0,679,1184
sp009,113,0,756,1173
sp009,114,0,664,1205
sp009,115,0,785,1299
sp009,116,0,653,1283
sp009,117,0,815,1394
sp009,118,0,768,1216
